dataset_name,model_name,epochs,train_count,val_count,test_count,train_time_sec,inference_time_sec,val_top1,val_top5,val_macro_ap,test_top1,test_top5,test_macro_ap,final_train_loss,final_val_loss,best_val_loss,params_total,params_trainable,flops,best_epoch,notes
CIFAR-100,sift+svm,1,45000,5000,10000,39.328086199999234,0.013618200002383674,0.0742,0.2132,0.043183926254551676,0.0733,0.2176,0.04063714419550764,,,,,,,,classical_model=sift+svm; no_resize=True; vocab_size=256; max_descriptor_samples=100000; feature_extraction_time_sec=15.2414; bovw_build_time_sec=11.4332; svm_train_time_sec=12.6534
CIFAR-100,sift+svm,1,45000,5000,10000,39.032935800001724,0.0147465000009106,0.0768,0.2186,0.045858667788935444,0.0735,0.2215,0.042808158083620304,,,,,,,,classical_model=sift+svm; no_resize=True; vocab_size=256; max_descriptor_samples=100000; feature_extraction_time_sec=13.9742; bovw_build_time_sec=12.1166; svm_train_time_sec=12.9421
CIFAR-100,sift+svm,1,45000,5000,10000,39.129695299998275,0.013760699999693315,0.0692,0.2074,0.04113118746792172,0.0739,0.2218,0.041219953223934465,,,,,,,,classical_model=sift+svm; no_resize=True; vocab_size=256; max_descriptor_samples=100000; feature_extraction_time_sec=14.0068; bovw_build_time_sec=11.8938; svm_train_time_sec=13.2292
CIFAR-100,hog+svm,1,45000,5000,10000,302.0367718999987,0.02393800000209012,0.1896,0.412,0.1610825931114951,0.1903,0.4194,0.15728241537735477,,,,,,,,"classical_model=hog+svm; no_resize=True; canvas_shape=(32, 32); feature_extraction_time_sec=7.7678; svm_train_time_sec=294.2689"
CIFAR-100,hog+svm,1,45000,5000,10000,297.7480665000003,0.02163719999953173,0.1884,0.4036,0.15999615378064774,0.1929,0.4174,0.1633696840981013,,,,,,,,"classical_model=hog+svm; no_resize=True; canvas_shape=(32, 32); feature_extraction_time_sec=7.8130; svm_train_time_sec=289.9350"
CIFAR-100,hog+svm,1,45000,5000,10000,335.18074089999936,0.019763300002523465,0.186,0.401,0.15628609331703477,0.1874,0.414,0.15468088596783025,,,,,,,,"classical_model=hog+svm; no_resize=True; canvas_shape=(32, 32); feature_extraction_time_sec=7.8182; svm_train_time_sec=327.3626"
CIFAR-100,vit_b_16,30,45000,5000,10000,3599.8662803000043,15.96608969999943,0.335,0.6034,0.3133509694234856,0.3275,0.6021,0.30574287978357595,0.16926109154489305,4.79903204460144,4.878472487640381,85875556,85875556,427589376,28,deep_model; no_resize=True; batch_padding=True
CIFAR-100,vit_b_16,30,45000,5000,10000,3602.139348200002,15.665795399996568,0.342,0.634,0.3364806438453946,0.3354,0.6114,0.30545088652806196,0.14445465638637542,5.286855902862549,2.8519932975769042,85875556,85875556,427589376,7,deep_model; no_resize=True; batch_padding=True
CIFAR-100,vit_b_16,30,45000,5000,10000,3600.789995648523,15.598725254999978,0.339,0.621,0.3301548959644811,0.3298,0.6178,0.30524862487977583,0.13827694795484879,5.024864877864498,2.179197575895284,85875556,85875556,427589376,17,deep_model; no_resize=True; batch_padding=True
CIFAR-100,resnet50,30,45000,5000,10000,2347.3659401999976,14.736409900004219,0.5958,0.8492,0.6360632262187781,0.5834,0.8319,0.6056027761248851,0.2520639544857873,2.7776336755752564,2.274569907474518,23712932,23712932,84071424,18,deep_model; no_resize=True; batch_padding=True
CIFAR-100,resnet50,30,45000,5000,10000,2345.523316299994,17.108480800001416,0.599,0.8564,0.6472307116836677,0.5849,0.837,0.6123501898120512,0.25288392956521777,2.7662946323394775,1.8514732061386108,23712932,23712932,84071424,11,deep_model; no_resize=True; batch_padding=True
CIFAR-100,resnet50,30,45000,5000,10000,2345.875148449645,17.018717500009727,0.5977,0.8579,0.6419277837339737,0.5838,0.8358,0.6104994587973982,0.25234827498795485,2.7651872768697691,1.7792248763531925,23712932,23712932,84071424,16,deep_model; no_resize=True; batch_padding=True
